Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
178380:2204,185,6844049.62998,"[1-81], [84-187]",6753524.38403
178420:2208,17,1607794.02103,"[53-61], [63-70]",593741.556809
178421:2208,1150,70818272.0231,"[1-3], [47-77], [79-135], [137-149], [151-265], [268-293], [295-320], [323-512], [514-586], [588-742], [744-756], [759-915], [917-1207]",67133725.8389
178424:2208,834,33249244.1793,"[1-536], [538-594], [597-837]",32826579.5117
178479:2210,933,63042869.6292,"[61-64], [66-129], [132-245], [247-354], [356-576], [578-985], [988-1001]",61063692.0616
178703:2216,141,11023807.8675,[43-183],10250703.4879
178708:2216,374,25717614.2419,[1-374],24733368.1339
178712:2216,390,22709028.0376,"[1-42], [44-197], [199-333], [336-394]",22009380.3745
178724:2216,259,13279142.5245,[3-261],12967492.6613
178731:2216,208,9768903.45722,[1-208],9466770.53688
178738:2216,245,10674645.22,"[1-143], [145-246]",10457797.144
178786:2217,160,13172132.7098,"[53-67], [70-117], [120-120], [123-135], [138-202], [205-218], [220-223]",12501884.9789
178803:2218,400,29078295.254,"[49-115], [117-316], [319-451]",27940381.2771
178840:2219,543,41099805.4155,"[48-119], [122-336], [339-341], [343-566], [569-597]",39789777.6671
178854:2219,134,8600517.08415,[1-134],8253991.21258
178866:2219,424,24358585.8405,[1-424],23713743.0244
178871:2219,1264,55389274.7908,"[1-64], [67-71], [73-156], [159-380], [382-466], [468-1181], [1184-1273]",54615414.0081
178920:2220,236,19653038.4388,[53-288],19069063.62
178970:2222,529,39368436.3097,"[52-242], [244-581]",38383457.3429
178985:2222,77,4874064.31534,[1-77],4606574.74767
179411:2239,110,7827697.88915,[1-110],7503883.52453
179434:2240,725,50465601.8654,"[21-289], [291-388], [390-607], [609-748]",48429016.5145
179452:2240,1220,59282775.2275,"[1-108], [110-121], [124-158], [160-276], [278-289], [292-515], [518-830], [833-849], [851-1116], [1118-1233]",57836037.1876
179476:2240,202,7700672.56308,"[1-16], [19-204]",7481072.38587
179497:2241,333,26615320.3308,"[86-116], [118-131], [134-149], [151-274], [277-280], [283-402], [405-428]",23326937.4517
179547:2242,260,21008331.5931,"[75-156], [158-162], [164-262], [265-338]",20043567.3768
179558:2242,130,9686332.96214,"[1-52], [55-64], [66-73], [75-134]",9163007.55198
179563:2242,1171,68978318.806,"[1-440], [443-631], [633-704], [707-722], [724-912], [915-968], [970-1085], [1087-1138], [1141-1183]",67222333.4371
179889:2254,468,36137297.7791,"[51-68], [70-139], [142-448], [450-463], [466-497], [500-526]",35164127.0361
179959:2256,16,1455003.55827,[69-84],1397130.54415
179977:2258,91,7744022.40622,"[44-51], [53-114], [116-136]",7282928.53714
180072:2261,54,4293470.58372,[49-102],3853483.85915
180076:2261,355,25428156.5381,"[1-182], [184-356]",24271727.7173
180093:2261,336,20489731.5282,"[1-260], [263-292], [295-340]",19590221.3329
180241:2266,351,27969961.7611,"[55-74], [78-78], [80-252], [255-328], [331-351], [353-414]",26814758.3238
180250:2267,529,42287732.729,"[3-3], [6-82], [84-259], [262-426], [429-538]",40813940.2254
180252:2267,76,5288090.78726,"[1-40], [42-49], [52-79]",4920666.8678
